"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"367",1628,"81020","BATHGATE 4N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"370",1828,"82974","BEARSDEN 10N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"371",1864,"83847","Bearsden 13N","no2",2003-04-29,NA,"roadside",NA,NA,"md_measurement","scotarc"
"372",1865,"83848","Bearsden 14N","no2",2003-04-29,NA,"roadside",NA,NA,"md_measurement","scotarc"
"373",1866,"83849","Bearsden 15N","no2",2003-04-29,NA,"roadside",NA,NA,"md_measurement","scotarc"
"374",1867,"83850","Bearsden 16N","no2",2005-11-02,NA,"roadside",NA,NA,"md_measurement","scotarc"
"375",1782,"82554","BEARSDEN 1N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"376",1783,"82555","BEARSDEN 2N","no2",1994-01-04,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"377",1784,"82556","BEARSDEN 3N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"378",1785,"82557","BEARSDEN 4N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"379",1861,"83844","Bearsden 7N","no2",1998-03-03,NA,"roadside",NA,NA,"md_measurement","scotarc"
"380",1862,"83845","Bearsden 8N","no2",1998-02-03,NA,"roadside",NA,NA,"md_measurement","scotarc"
"381",1863,"83846","Bearsden 9N","no2",1998-02-03,NA,"roadside",NA,NA,"md_measurement","scotarc"
"413",1900,"84184","Bellshill 1N","no2",2005-11-29,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"414",1680,"81907","BELLSHILL 4N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"418",1827,"82973","BISHOPBRIGGS 12N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"419",1857,"83840","Bishopbriggs 13N","no2",2003-04-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"420",1858,"83841","Bishopbriggs 14N","no2",2003-12-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"421",1631,"81023","BISHOPBRIGGS 5N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"422",1629,"81021","BISHOPBRIGGS 6N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"423",1630,"81022","BISHOPBRIGGS 7N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"424",1632,"81024","BISHOPBRIGGS 8N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"435",1695,"81934","BOTHWELL 3N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"465",1771,"82351","BRORA 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"475",2010,"bush","Bush Estate","o3",1986-04-01,NA,"rural",55.862281,-3.205782,"measurement","scotarc"
"478",2011,"bush","Bush Estate","no2",2003-10-09,NA,"rural",55.862281,-3.205782,"measurement","scotarc"
"487",1878,"84162","Carfin 1N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"488",1874,"84158","Chapelhall 1N","no2",NA,NA,"roadside",NA,NA,"md_measurement","scotarc"
"489",1894,"84178","Chapelhall 2N","no2",2006-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"490",1895,"84179","Chapelhall 3N","no2",2006-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"491",1667,"81839","CLARKSTON 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"492",1773,"82436","CLYDEBANK 1N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"493",1774,"82437","CLYDEBANK 2N","no2",1994-01-04,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"494",1775,"82438","CLYDEBANK 3N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"495",1776,"82439","CLYDEBANK 4N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"498",1837,"83594","CLYDEBANK 5N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"501",1855,"83746","Clydebank 8n","no2",2005-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"508",1669,"81888","COATBRIDGE 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"509",1670,"81889","COATBRIDGE 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"510",1841,"83598","COATBRIDGE 3N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"513",1871,"84154","Coatbridge 4N","no2",2005-03-03,NA,"roadside",NA,NA,"md_measurement","scotarc"
"516",1880,"84164","Coatbridge 5N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"517",1881,"84165","Coatbridge 6N","no2",2006-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"520",1896,"84180","Coatbridge 7N","no2",2006-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"521",1897,"84181","Coatbridge 8N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"533",1872,"84156","Cumbernauld 1N","no2",2004-03-02,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"536",1873,"84157","Cumbernauld 2N","no2",2004-03-02,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"539",1898,"84182","Cumbernauld 3N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"542",1681,"81916","CUPAR 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"543",1682,"81917","CUPAR 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"544",1683,"81918","CUPAR 3N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"545",1758,"82224","CUPAR 4N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"548",1701,"81942","DALKEITH 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"549",1703,"81944","DALKEITH 2N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"550",1762,"82278","DALKEITH 3N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"557",1787,"82561","DINGWALL 10N","no2",1994-01-04,1994-11-29,NA,NA,NA,"md_measurement","scotarc"
"558",1788,"82562","DINGWALL 11N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"559",1850,"83667","DINGWALL 12N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"560",1853,"83691","DINGWALL 13N","no2",2002-01-01,NA,NA,NA,NA,"md_measurement","scotarc"
"561",1854,"83724","DINGWALL 14N","no2",2004-03-04,NA,NA,NA,NA,"md_measurement","scotarc"
"562",1726,"82066","DINGWALL 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"563",1727,"82067","DINGWALL 2N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"564",1728,"82068","DINGWALL 3N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"565",1729,"82069","DINGWALL 4N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"566",1730,"82070","DINGWALL 5N","no2",1992-12-29,2002-12-31,NA,NA,NA,"md_measurement","scotarc"
"567",1731,"82071","DINGWALL 6N","no2",1992-12-29,1999-11-30,NA,NA,NA,"md_measurement","scotarc"
"568",1732,"82072","DINGWALL 7N","no2",1992-12-29,1994-11-29,NA,NA,NA,"md_measurement","scotarc"
"569",1733,"82073","DINGWALL 8N","no2",1992-12-29,1994-11-29,NA,NA,NA,"md_measurement","scotarc"
"570",1786,"82560","DINGWALL 9N","no2",1994-01-04,2004-02-28,NA,NA,NA,"md_measurement","scotarc"
"571",1661,"81806","DUMBARTON 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"572",1662,"81807","DUMBARTON 2N","no2",1992-12-29,1994-11-29,NA,NA,NA,"md_measurement","scotarc"
"575",1663,"81808","DUMBARTON 3N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"578",1664,"81809","DUMBARTON 4N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"581",1751,"82185","DUMBARTON 5N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"582",1752,"82186","DUMBARTON 6N","no2",1992-12-29,1995-11-28,NA,NA,NA,"md_measurement","scotarc"
"583",1772,"82392","DUMBARTON 7N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"584",1789,"82593","DUMBARTON 8N","no2",1995-01-03,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"585",1791,"82627","DUMBARTON 9N","no2",1996-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"591",2015,"dumf","Dumfries","no2",2001-03-01,NA,"roadside",55.070033,-3.614233,"measurement","scotarc"
"596",2013,"dumf","Dumfries","co",2001-07-17,2007-09-30,"roadside",55.070033,-3.614233,"measurement","scotarc"
"609",1649,"81794","DUNDEE 1N","no2",1992-12-29,1996-12-03,NA,NA,NA,"md_measurement","scotarc"
"610",1650,"81795","DUNDEE 2N","no2",1992-12-29,1995-11-28,NA,NA,NA,"md_measurement","scotarc"
"611",1651,"81796","DUNDEE 3N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"612",1652,"81797","DUNDEE 4N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"613",1717,"82012","DUNDEE 5N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"616",1792,"82637","DUNDEE 6N","no2",1996-01-02,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"619",1795,"82668","DUNDEE 7N","no2",1996-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"620",1847,"83627","DUNDEE 8N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"622",2291,"dun4","Dundee Broughty Ferry Road","pm10",2006-01-01,NA,"urban_background",56.467332,-2.943423,"measurement","scotarc"
"624",3299,"dun4","Dundee Broughty Ferry Road","no2",2016-01-01,NA,NA,56.467332,-2.943423,"measurement","scotarc"
"633",2793,"dun6","Dundee Lochee Road","pm10",2011-04-08,NA,"urban_background",56.465126,-2.993867,"measurement","scotarc"
"638",2314,"dun6","Dundee Lochee Road","no2",2006-01-01,NA,"urban_background",56.465126,-2.993867,"measurement","scotarc"
"643",2266,"dun1","Dundee Mains Loan","pm10",2006-03-28,NA,"urban_background",56.475434,-2.959861,"measurement","scotarc"
"647",2795,"dun1","Dundee Mains Loan","no2",2011-03-29,NA,"urban_background",56.475434,-2.959861,"measurement","scotarc"
"655",2803,"dunm","Dundee Meadowside","pm10",2011-06-15,NA,"roadside",56.464258,-2.971386,"measurement","scotarc"
"656",2800,"dunm","Dundee Meadowside","no2",2011-06-15,NA,"roadside",56.464258,-2.971386,"measurement","scotarc"
"661",2299,"dun5","Dundee Seagate","no2",2006-01-01,NA,"urban_background",56.462383,-2.96739,"measurement","scotarc"
"663",2791,"dun5","Dundee Seagate","pm10",2011-05-09,NA,"urban_background",56.462383,-2.96739,"measurement","scotarc"
"670",2306,"dun3","Dundee Union Street","no2",2006-01-01,2016-01-06,"roadside",56.459167,-2.971389,"measurement","scotarc"
"673",2293,"dun3","Dundee Union Street","pm10",2006-01-01,2016-01-06,"roadside",56.459167,-2.971389,"measurement","scotarc"
"680",2302,"dun7","Dundee Whitehall Street","no2",2006-01-01,NA,"urban_background",56.45974,-2.970708,"measurement","scotarc"
"684",3304,"dun7","Dundee Whitehall Street","pm10",2016-02-10,NA,NA,56.45974,-2.970708,"measurement","scotarc"
"689",1654,"81799","DUNFERMLINE 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"690",1734,"82085","DUNFERMLINE 5N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"691",1735,"82086","DUNFERMLINE 6N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"692",1736,"82087","DUNFERMLINE 7N","no2",1992-12-29,1998-12-01,NA,NA,NA,"md_measurement","scotarc"
"693",1816,"82825","DUNFERMLINE 8N","no2",1998-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"694",1830,"82976","DUNFERMLINE 9N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"699",2834,"marn","E Ayrshire Kilmarnock St Marnock St","no2",2012-02-17,NA,"roadside",55.607469,-4.497986,"measurement","scotarc"
"701",2842,"marn","E Ayrshire Kilmarnock St Marnock St","pm10",2012-02-17,NA,"roadside",55.607469,-4.497986,"measurement","scotarc"
"703",1668,"81840","EAGLESHAM 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"705",2593,"kilm","East Ayrshire Kilmarnock","co",2008-01-01,2009-06-03,"urban_background",55.616583,-4.515449,"measurement","scotarc"
"711",2595,"kilm","East Ayrshire Kilmarnock","no2",2008-01-01,2009-06-03,"urban_background",55.616583,-4.515449,"measurement","scotarc"
"712",2599,"kilm","East Ayrshire Kilmarnock","pm10",2008-01-01,2009-06-03,"urban_background",55.616583,-4.515449,"measurement","scotarc"
"714",2747,"fini","East Ayrshire Kilmarnock John Finnie St","no2",2010-04-01,2015-06-08,"roadside",55.61095,-4.499021,"measurement","scotarc"
"723",2750,"fini","East Ayrshire Kilmarnock John Finnie St","pm10",2010-04-01,2012-01-22,"roadside",55.61095,-4.499021,"measurement","scotarc"
"724",2643,"cumn","East Ayrshire New Cumnock","pm10",2009-01-17,2011-11-10,"urban_background",55.39595,-4.18346,"measurement","scotarc"
"728",2645,"cumn","East Ayrshire New Cumnock","no2",2009-01-17,2011-08-01,"urban_background",55.39595,-4.18346,"measurement","scotarc"
"735",2354,"edb2","East Dunbartonshire Bearsden","pm10",2005-11-01,NA,"roadside",55.919596,-4.333505,"measurement","scotarc"
"736",2351,"edb2","East Dunbartonshire Bearsden","no2",2005-12-24,NA,"roadside",55.919596,-4.333505,"measurement","scotarc"
"741",2346,"edb1","East Dunbartonshire Bishopbriggs","no2",2003-12-04,NA,"roadside",55.904167,-4.225,"measurement","scotarc"
"747",2349,"edb1","East Dunbartonshire Bishopbriggs","pm10",2003-12-04,NA,"roadside",55.904167,-4.225,"measurement","scotarc"
"752",2496,"edb3","East Dunbartonshire Kirkintilloch","no2",2007-08-03,NA,"roadside",55.935921,-4.151759,"measurement","scotarc"
"764",2819,"edb4","East Dunbartonshire Milngavie ","no2",2011-08-01,NA,NA,55.938253,-4.317753,"measurement","scotarc"
"766",2060,"ek","East Kilbride","o3",1975-05-08,1975-10-09,"suburban",55.754722,-4.173056,"measurement","scotarc"
"777",1657,"81802","EAST KILBRIDE 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"782",1658,"81803","EAST KILBRIDE 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"783",1659,"81804","EAST KILBRIDE 3N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"784",1660,"81805","EAST KILBRIDE 4N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"791",2606,"muss","East Lothian Musselburgh N High St","pm10",2008-01-01,NA,"roadside",55.944008,-3.059223,"measurement","scotarc"
"792",2732,"muss","East Lothian Musselburgh N High St","no2",2010-02-23,NA,"roadside",55.944008,-3.059223,"measurement","scotarc"
"820",1705,"81946","EDINBURGH 1N","no2",1992-12-29,1996-12-03,NA,NA,NA,"md_measurement","scotarc"
"833",1706,"81947","EDINBURGH 2N","no2",1992-12-29,1996-12-03,NA,NA,NA,"md_measurement","scotarc"
"834",1707,"81948","EDINBURGH 3N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"835",1708,"81949","EDINBURGH 4N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"836",1793,"82659","EDINBURGH 5N","no2",1996-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"837",1794,"82660","EDINBURGH 6N","no2",1996-01-02,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"840",1849,"83666","EDINBURGH 7N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"846",2021,"ed","Edinburgh Centre","o3",1992-10-04,2003-10-13,"urban_centre",55.95197,-3.195775,"measurement","scotarc"
"847",2025,"ed","Edinburgh Centre","pm10",1992-10-04,2003-10-13,"urban_centre",55.95197,-3.195775,"measurement","scotarc"
"848",2018,"ed","Edinburgh Centre","co",1992-10-04,2003-10-13,"urban_centre",55.95197,-3.195775,"measurement","scotarc"
"852",2020,"ed","Edinburgh Centre","no2",1992-10-04,2003-10-13,"urban_centre",55.95197,-3.195775,"measurement","scotarc"
"853",3174,"ed11","Edinburgh Currie","pm10",2013-01-01,NA,"suburban",55.896909,-3.31966,"measurement","scotarc"
"857",3172,"ed11","Edinburgh Currie","no2",2013-01-01,NA,"suburban",55.896909,-3.31966,"measurement","scotarc"
"860",2863,"ed10","Edinburgh Glasgow Road","no2",2012-09-04,NA,"roadside",55.939026,-3.392727,"measurement","scotarc"
"868",2866,"ed10","Edinburgh Glasgow Road","pm10",2012-09-04,NA,"roadside",55.939026,-3.392727,"measurement","scotarc"
"870",2611,"ed5","Edinburgh Gorgie Road","no2",2005-01-01,NA,"roadside",55.937708,-3.232267,"measurement","scotarc"
"875",2465,"ed6","Edinburgh Haymarket","no2",2007-01-01,2009-01-22,"roadside",55.945833,-3.220556,"measurement","scotarc"
"882",2468,"ed6","Edinburgh Haymarket","pm10",2007-01-01,2009-01-22,"roadside",55.945833,-3.220556,"measurement","scotarc"
"914",2539,"ed7","Edinburgh Queen Street","pm10",2007-01-01,NA,"roadside",55.953837,-3.205481,"measurement","scotarc"
"915",2536,"ed7","Edinburgh Queen Street","no2",2007-01-01,NA,"roadside",55.953837,-3.205481,"measurement","scotarc"
"923",2785,"ed9","Edinburgh Queensferry Road","no2",2011-01-01,NA,"roadside",55.960497,-3.30325,"measurement","scotarc"
"931",2264,"ed4","Edinburgh Roseburn","pm10",2006-05-01,2011-08-15,"roadside",55.945833,-3.235278,"measurement","scotarc"
"933",2283,"ed4","Edinburgh Roseburn","no2",2006-05-01,2011-08-15,"roadside",55.945833,-3.235278,"measurement","scotarc"
"934",2697,"ed8","Edinburgh Salamander St","no2",2009-09-17,NA,"roadside",55.974594,-3.161455,"measurement","scotarc"
"936",2701,"ed8","Edinburgh Salamander St","pm10",2009-09-17,NA,"roadside",55.974594,-3.161455,"measurement","scotarc"
"946",2462,"ed1","Edinburgh St John's Road","no2",2007-01-01,NA,"kerbside",55.9425,-3.281111,"measurement","scotarc"
"953",2053,"ed3","Edinburgh St Leonards","no2",2003-11-24,NA,"urban_background",55.945589,-3.182186,"measurement","scotarc"
"955",2541,"ed3","Edinburgh St Leonards","pm25",2008-10-01,NA,"urban_background",55.945589,-3.182186,"measurement","scotarc"
"958",2054,"ed3","Edinburgh St Leonards","o3",2003-11-24,NA,"urban_background",55.945589,-3.182186,"measurement","scotarc"
"960",2051,"ed3","Edinburgh St Leonards","co",2003-11-24,NA,"urban_background",55.945589,-3.182186,"measurement","scotarc"
"965",2059,"ed3","Edinburgh St Leonards","pm10",2003-12-01,2007-07-09,"urban_background",55.945589,-3.182186,"measurement","scotarc"
"1001",702,"5002","Eskdalemuir","no2",1993-01-31,1995-01-02,"rural",NA,NA,"md_measurement","scotarc"
"1125",2063,"esk","Eskdalemuir","no2",2004-12-09,NA,"rural",55.31531,-3.206111,"measurement","scotarc"
"1133",2062,"esk","Eskdalemuir","o3",1986-04-23,NA,"rural",55.31531,-3.206111,"measurement","scotarc"
"1138",1753,"82190","FALKIRK 13N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1139",1754,"82191","FALKIRK 14N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1140",1689,"81928","FALKIRK 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1141",1690,"81929","FALKIRK 2N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1142",1691,"81930","FALKIRK 3N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1145",1692,"81931","FALKIRK 4N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1148",1901,"84199","Falkirk 5N","no2",1990-04-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1153",1914,"84733","FALKIRK 7N","no2",1992-12-29,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1156",1915,"84734","FALKIRK 8N","no2",1992-12-29,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1160",3247,"fal7","Falkirk Banknock","pm25",2015-01-28,NA,NA,55.988456,-3.969288,"measurement","scotarc"
"1161",3170,"fal7","Falkirk Banknock","pm10",2013-01-01,NA,"roadside",55.988456,-3.969288,"measurement","scotarc"
"1162",2368,"falk","Falkirk Grangemouth MC","pm10",2007-07-01,NA,"urban_background",56.018951,-3.721013,"measurement","scotarc"
"1170",2364,"falk","Falkirk Grangemouth MC","no2",2007-07-01,NA,"urban_background",56.018951,-3.721013,"measurement","scotarc"
